log-tradeBuyTurnover-ask4               : 0.014794735376006594
tradeSellLow-tradeSellHigh              : -0.014741992092439052
log-asize0-nAddBuy                      : -0.014717227825285931
log-nAddBuy-asize0                      : 0.01471722782528593
ask19-midpx                             : 0.01471421291708864
log-ask9-tradeBuyTurnover               : -0.014701083163250969
log-tradeBuyTurnover-ask9               : 0.014701083163250969
log-tradeSellHigh-tradeSellLow          : 0.01469514640782223
log-tradeSellLow-tradeSellHigh          : -0.014695146407822228
tradeSellHigh-tradeSellLow              : 0.014645937085546257
addBuyQty-nAddSell                      : 0.014644035214801248
ask19-bid0                              : 0.014630772490408693
cxlSellQty-addSellLow                   : 0.014630179147345455
log-btr10_19-addBuyTurnover             : -0.014616304876105282
log-addBuyTurnover-btr10_19             : 0.014616304876105275
log-ask19-tradeBuyTurnover              : -0.014605366038822905
log-tradeBuyTurnover-ask19              : 0.014605366038822901
log-tradeBuyTurnover-addBuyHigh         : 0.01454727553503034
log-addBuyHigh-tradeBuyTurnover         : -0.01454727553503034
